Element indices,outer diameter (cm),wall thickness (cm),length (m),node 1 id,node 2 id,optimal sequence
158,0.6,0.16,0.478,52,53,209
159,0.6,0.16,0.279,52,58,210
160,0.6,0.16,0.379,53,58,211
161,0.6,0.16,0.383,54,56,212
162,0.6,0.16,0.255,55,56,213
163,0.6,0.16,0.246,0,2,19
164,0.6,0.16,0.258,0,5,23
165,0.6,0.16,0.256,2,3,21
166,0.8,0.16,0.254,3,22,51
167,0.6,0.16,0.258,22,25,54
168,0.6,0.16,0.257,11,25,49
169,0.6,0.16,0.255,9,11,40
170,0.6,0.16,0.256,9,10,36
171,0.8,0.16,0.258,10,31,52
172,0.6,0.16,0.258,17,31,56
173,0.6,0.16,0.253,17,34,65
174,0.6,0.16,0.25,16,34,67
175,0.6,0.16,0.255,12,16,62
176,0.8,0.16,0.257,12,15,45
177,1,0.16,0.256,5,15,44
178,0.6,0.16,0.25,0,46,15
179,0.6,0.16,0.359,2,46,24
180,0.6,0.16,0.413,3,4,18
181,0.6,0.16,0.419,3,46,17
182,1,0.16,0.297,4,22,53
183,0.6,0.16,0.255,4,25,48
184,0.6,0.16,0.304,25,48,50
185,0.6,0.16,0.226,11,48,42
186,0.6,0.16,0.255,9,48,38
187,0.6,0.16,0.289,7,10,11
188,0.6,0.16,0.392,10,48,39
189,0.6,0.16,0.261,7,31,55
190,0.8,0.16,0.324,31,42,66
191,0.6,0.16,0.222,17,42,57
192,0.6,0.16,0.342,34,42,68
193,0.6,0.16,0.312,16,42,64
194,0.6,0.16,0.319,12,42,59
195,0.6,0.16,0.383,15,42,60
196,0.6,0.16,0.2,14,15,47
197,0.6,0.16,0.233,5,46,28
198,0.6,0.16,0.265,5,14,33
199,0.6,0.16,0.355,5,6,27
200,0.6,0.16,0.333,4,46,25
201,0.8,0.16,0.273,4,6,12
202,0.6,0.16,0.232,4,48,26
203,0.6,0.16,0.35,7,42,58
204,0.6,0.16,0.287,7,14,31
205,0.6,0.16,0.279,6,7,10
206,1,0.16,0.393,7,48,30
207,0.6,0.16,0.245,6,46,14
208,0.6,0.16,0.341,14,42,61
209,0.8,0.16,0.274,6,14,43
210,0.6,0.16,0.313,6,48,29
211,1.6,0.16,0.388,1,59,0
212,1.6,0.16,0.388,8,60,1
213,1.6,0.16,0.388,13,61,2
